car model,car make,car model year,color
Town Car,Lincoln,2007,Orange
Sierra 1500,GMC,2001,Maroon
SRX,Cadillac,1998,Aquamarine
Avenger,Dodge,1999,Yellow
C-MAX Hybrid,Ford,2009,Red
Daewoo Magnus,Suzuki,1998,Pink
Grand Prix,Pontiac,1999,Crimson
Century,Buick,2009,Goldenrod
Swift,Suzuki,2007,Indigo
Explorer,Ford,2006,Green
QX56,Infiniti,2004,Puce
del Sol,Honda,2009,Turquoise
XT,Subaru,2007,Orange
MPV,Mazda,2007,Goldenrod
Ram 50,Dodge,2007,Maroon
Elan,Lotus,2005,Indigo
Mustang,Ford,2003,Mauv
Avalon,Toyota,2010,Aquamarine
Continental,Lincoln,2004,Mauv
Ram 1500,Dodge,2008,Mauv
A5,Audi,1998,Maroon
Camaro,Chevrolet,2008,Red
Storm,Geo,2000,Purple
R-Class,Mercedes-Benz,2008,Crimson
A8,Audi,2008,Red
Grand Marquis,Mercury,2005,Orange
Neon,Dodge,2009,Yellow
Sable,Mercury,1998,Fuscia
Escalade EXT,Cadillac,2003,Red
Prizm,Chevrolet,2005,Mauv
Escalade ESV,Cadillac,2010,Goldenrod
TrailBlazer,,2003,Puce
Viper,Dodge,2009,Pink
Vega,Chevrolet,2010,Green
9-3,Saab,2001,Blue
S-Class,Mercedes-Benz,2003,Crimson
Camaro,Chevrolet,2010,Mauv
i-370,Isuzu,2009,Goldenrod
SLR McLaren,Mercedes-Benz,1999,Maroon
9-7X,Saab,2008,Maroon
Equator,Suzuki,2001,Turquoise
2500,Ram,2002,Blue
6000,Pontiac,1999,Khaki
RX Hybrid,Lexus,2008,Goldenrod
D250,Dodge,2005,Red
G-Series G20,Chevrolet,2007,Maroon
Escape,Ford,1998,Red
MKX,Lincoln,2010,Violet
Sonata,,2001,Yellow
Cougar,Mercury,2009,Puce
Wrangler,Jeep,2007,Puce
Silverado 1500,Chevrolet,2009,Teal
3500,Ram,2010,Goldenrod
900,Saab,2008,Orange
Talon,Eagle,2009,Turquoise
Envoy,GMC,2004,Orange
Outlook,Saturn,2007,Green
Roadmaster,Buick,2006,Aquamarine
Grand Caravan,Dodge,2010,Purple
XF,Jaguar,2007,Crimson
TT,Audi,2005,Red
Cougar,Mercury,2004,Blue
Journey,Dodge,2004,Teal
Titan,Nissan,1999,Violet
Skylark,Buick,2008,Blue
Chariot,Mitsubishi,2010,Orange
Optima,Kia,2004,Green
Integra,Acura,2010,Purple
Ram 3500,Dodge,2007,Orange
88,Oldsmobile,2008,Orange
Accent,Hyundai,2006,Crimson
SRX,Cadillac,2007,Blue
ES,Lexus,1999,Orange
57,Maybach,2000,Crimson
Optima,Kia,2003,Mauv
Grand Prix,Pontiac,2001,Aquamarine
Aerostar,Ford,2003,Teal
Firebird,Pontiac,1998,Green
Forenza,Suzuki,2009,Turquoise
3 Series,BMW,1998,Crimson
Escape,Ford,1999,Maroon
Matrix,Toyota,1998,Khaki
Cougar,Mercury,2006,Teal
Cobalt,Chevrolet,2004,Fuscia
Quest,,2001,Aquamarine
Tracker,Geo,2004,Aquamarine
Sparrow,Corbin,2001,Yellow
3500 Club Coupe,GMC,2006,Green
Diablo,Lamborghini,2006,Pink
LHS,Chrysler,2003,Yellow
Express 1500,Chevrolet,2000,Indigo
Spectra,Kia,2006,Red
626,,2009,Mauv
MPV,Mazda,2007,Crimson
E-Class,Mercedes-Benz,1999,Blue
Prowler,Plymouth,1999,Fuscia
CL-Class,Mercedes-Benz,2000,Fuscia
Lancer,Mitsubishi,2010,Turquoise
GX,Lexus,2004,Yellow
X3,,2005,Turquoise
